"","importance","BWrank","lmc","lmc1","lmc10","equal"
"FoodProvision",1.03837420151352,1.04562352145995,1.44258123196426,1.29937704575543,1.07652605682658,1
"AboriginalNeeds",0.745422500344429,0.231497127407908,0,0.323565880941819,0.827091500272303,1
"NaturalProducts",0.846358334511639,0.361946603582291,0.229802999335367,0.479012470354166,0.866826392120307,1
"CarbonStorage",1.01521240321202,0.7967218654951,0.963811949648867,0.975521168040299,0.993742778505715,1
"CoastalProtection",1.0704982970827,1.03531598513011,1.35084730924355,1.23732509055209,1.0606644818748,1
"CoastalLivelihoods",1.01482156051905,0.970767151064549,1.18931093899599,1.12805637824783,1.03273347044384,1
"TourismRecreation",0.947563714826465,0.465021966880703,0.408221517161442,0.599700843283514,0.897676470361253,1
"IconicPlacesSPecies",1.08026085980271,0.86752281176073,1.05672499271561,1.03837072047617,1.00980823338752,1
"CleanWaters",1.15542204706568,1.47820209530247,2.14978644522269,1.77775478117925,1.1988078492507,1
"Biodiversity",1.08606608112178,0.92919905373437,1.20891261571222,1.14131562116944,1.03612276695699,1
